date,time,id,roadname,fromnode,tonode,maxSpeed,speed,ttime,traffic
2025-10-01,16:00:00,6,정자로,정든마을사거리,한솔청구어린이집,30,12,111.0,3
2025-10-01,16:00:00,7,불정로,한솔청구어린이집,불정사거리,50,27,101.0,1
2025-10-01,16:00:00,8,불정로,불정사거리,계원삼거리,50,37,38.0,1
2025-10-01,16:15:00,1,성남대로,금곡교사거리,궁내사거리,70,29,70.0,1
2025-10-01,16:15:00,10,정자로,신기사거리,상록사거리,50,27,59.0,1
2025-10-01,16:15:00,8,불정로,불정사거리,계원삼거리,50,29,48.0,1
2025-10-01,16:15:00,7,불정로,한솔청구어린이집,불정사거리,50,25,109.0,2
2025-10-01,16:15:00,9,내정로,계원삼거리,신기사거리,30,23,61.0,2
2025-10-01,16:15:00,3,황새울로,느티마을사거리,상록사거리,50,20,101.0,2
2025-10-01,16:15:00,5,정자로,신기사거리,정든마을사거리,50,16,84.0,2
2025-10-01,16:15:00,11,정자로,상록사거리,금곡교사거리,50,31,18.0,1
2025-10-01,16:15:00,4,정자로,상록사거리,신기사거리,50,29,55.0,1
2025-10-01,16:15:00,2,느티로,궁내사거리,느티마을사거리,50,11,52.0,3
2025-10-01,16:15:00,6,정자로,정든마을사거리,한솔청구어린이집,30,11,121.0,3
2025-10-01,16:30:00,7,불정로,한솔청구어린이집,불정사거리,50,25,109.0,2
2025-10-01,16:30:00,2,느티로,궁내사거리,느티마을사거리,50,12,47.0,3
2025-10-01,16:30:00,6,정자로,정든마을사거리,한솔청구어린이집,30,11,121.0,3
2025-10-01,16:30:00,11,정자로,상록사거리,금곡교사거리,50,11,50.0,3
2025-10-01,16:30:00,1,성남대로,금곡교사거리,궁내사거리,70,26,78.0,1
2025-10-01,16:30:00,4,정자로,상록사거리,신기사거리,50,24,66.0,2
2025-10-01,16:30:00,10,정자로,신기사거리,상록사거리,50,25,63.0,2
2025-10-01,16:30:00,5,정자로,신기사거리,정든마을사거리,50,12,112.0,3
2025-10-01,16:30:00,8,불정로,불정사거리,계원삼거리,50,31,45.0,1
